日付,ドル円,ポンド円,オシレーター買いドル円,オシレーター中立ドル円,オシレーター売りドル円,移動平均買いドル円,移動平均中立ドル円,移動平均売りドル円,オシレーター買いポンド円,オシレーター中立ポンド円,オシレーター売りポンド円,移動平均買いポンド円,移動平均中立ポンド円,移動平均売りポンド円,S&P500指数,S&P500指数変化率,日経平均株価,日経平均株価変化率,UK100INDEX,UK100INDEX変化率,恐怖指数,恐怖指数変化率,ドル円(15分前),ポンド円(15分前),ドル円(1分後),ポンド円(1分後)
2021/01/04/ 11:01:13,103.048,140.992,1,8,2,1,1,14,0,9,2,1,1,15,3756.08,0,27256.19,-0.0042,6460.5,0,22.75,0,103.071,141.03,103.034,140.973
2021/01/04/ 11:02:18,103.034,140.973,1,8,2,1,1,14,1,7,3,1,1,15,3756.08,0,27256.19,0,6460.5,0,22.75,0,103.066,141.021,103.068,141.013
2021/01/04/ 11:03:24,103.068,141.013,1,8,2,1,1,14,1,8,2,16,1,0,3756.08,0,27265.13,0.0328,6460.5,0,22.75,0,103.074,141.046,103.036,140.992
2021/01/04/ 11:04:30,103.036,140.992,1,8,2,1,1,14,1,7,3,4,1,12,3756.08,0,27265.13,0,6460.5,0,22.75,0,103.07,141.05,103.038,141.02
2021/01/04/ 11:05:35,103.038,141.02,1,8,2,1,1,14,1,8,2,8,1,8,3756.08,0,27269.73,0.0169,6460.5,0,22.75,0,103.05,141.07,103.039,141
2021/01/04/ 11:06:43,103.039,141,1,8,2,1,1,14,1,8,2,7,1,9,3756.08,0,27269.73,0,6460.5,0,22.75,0,103.038,141.036,103.04,141.018
2021/01/04/ 11:07:48,103.04,141.018,1,8,2,1,1,14,1,9,1,11,1,5,3756.08,0,27267.59,-0.0078,6460.5,0,22.75,0,103.064,141.036,103.041,141.034
2021/01/04/ 11:08:55,103.041,141.034,1,8,2,1,1,14,2,8,1,15,1,1,3756.08,0,27267.59,0,6460.5,0,22.75,0,103.054,141.016,103.043,141.035
2021/01/04/ 11:10:00,103.043,141.035,1,8,2,1,1,14,2,8,1,15,1,1,3756.08,0,27290.17,0.0828,6460.5,0,22.75,0,103.071,141.021,103.042,141.015
2021/01/04/ 11:11:05,103.042,141.015,1,8,2,1,1,14,1,7,3,8,1,8,3756.08,0,27290.17,0,6460.5,0,22.75,0,103.061,141.01,103.04,141.055
2021/01/04/ 11:12:10,103.04,141.055,1,8,2,1,1,14,4,5,2,15,1,1,3756.08,0,27280.27,-0.0363,6460.5,0,22.75,0,103.07,141.032,103.051,141.058
2021/01/04/ 11:13:16,103.051,141.058,1,8,2,1,1,14,2,8,1,16,1,0,3756.08,0,27280.27,0,6460.5,0,22.75,0,103.069,141.041,103.043,141.055
2021/01/04/ 11:14:21,103.043,141.055,1,8,2,1,1,14,3,6,2,15,1,1,3756.08,0,27265.08,-0.0557,6460.5,0,22.75,0,103.05,141.015,103.055,141.047
2021/01/04/ 11:15:27,103.055,141.047,1,8,2,1,1,14,3,8,0,14,1,2,3756.08,0,27265.08,0,6460.5,0,22.75,0,103.054,141.01,103.053,141.063
2021/01/04/ 11:16:32,103.053,141.063,1,8,2,1,1,14,3,7,1,16,1,0,3756.08,0,27265.08,0,6460.5,0,22.75,0,103.048,140.992,103.053,141.065
2021/01/04/ 11:17:38,103.053,141.065,1,8,2,1,1,14,3,7,1,16,1,0,3756.08,0,27265.08,0,6460.5,0,22.75,0,103.034,140.973,103.045,141.053
2021/01/04/ 11:18:43,103.045,141.053,1,8,2,1,1,14,3,8,0,14,1,2,3756.08,0,27325.54,0.2217,6460.5,0,22.75,0,103.068,141.013,103.057,141.08
